id,name
TS,Thomas Tommi Schmitt
FL,Felix Lobrecht
WDR,Westdeutscher Rundfunk
EF,Elf Freunde
WE,Würzburg erleben
RN,Ruhr Nachrichten
LM,Luke Mockridge
DSUI,Die Schule und ich
EL,Eins Live
TVT,TV Total
RTLII,RTL ZWEI
DN,Dieter Nuhr
NYT,New York Times
GH,Gemischtes Hack
KHU,Klaas Heufer Umlauf
SS,Studio Schmitt
KT,Kölner Treff
JB,Jan Böhmermann
OS,Olli Schulz
FuF,Fest und Flauschig
Re,Radio eins
RB,Radio Bremen
HR,Hessischer Rundfunk
E,Das Erste
SatI,Sat Eins
ZDF,Zweites Deutsches Fernsehen
ZDFk,ZDFkultur
ZDFn,ZDFneo
ZDFmr,ZDF Magazin Royale
NDR,Norddeutscher Rundfunk
NDRf,NDR Fernsehen
ProS,Prosieben
DHSS,Die Harald Schmidt Show
RuB,Roche und Böhmermann
Neomr,Neo Magazin Royale
Neom,Neo Magazin
Neop,Neo Paradise
SuB,Schulz und Böhmermann
Zf,Zimmer frei Fernsehshow
SuS,Sanft und Sorgfältig
JKOJ,Joko und Klaas mit Olli und Jan
BO,Bei Olli
NDRt,NDR Talkshow
DGeA,Die Geschichte eines Abends
CHG,Circus HalliGalli
SidB,Schulz in der Box
JgK,Joko gegen Klaas  Die härtesten Duelle um die Welt
St,Stern
PT,Pussy Terror
LNB,Late Night Berlin
WWW,World Wide Wohnzimmer
KCN,Köln Comedy Nacht
St,Sträter
LOL,Last One Laughing
WWDS,Wer weiß denn sowas
SZ,Spasszone
ARD,Erstes Deutsches Fernsehen
PKS,Pierre M Krause Show
YT,Youtube
QCC,Quatsch Comedy Club
SKY,Sky
FTV,Florida TV
Viva,ViVa
TSb,Thomas Schmitt Baywatch
JL,Jakob Lundt