id,name,sex
TS,"Thomas ""Tommi"" Schmitt",1
FL,Felix Lobrecht,1
WDR,Westdeutscher Rundfunk,
EF,11 Freunde,
WE,Würzburg erleben,
RN,Ruhr Nachrichten,
LM,Luke Mockridge,1
DSUI,Die Schule und ich,
EL,1Live,
TVT,TV Total,
RTLII,RTL 2,
DN,Dieter Nuhr,1
NYT,New York Times,
GH,Gemischtes Hack,
KHU,Klaas Heufer-Umlauf,1
SS,Studio Schmitt,
KT,Kölner Treff,
JB,Jan Böhmermann,1
OS,Olli Schulz,1
FuF,Fest und Flauschig,
Re,Radio eins,
RB,Radio Bremen,
HR,Hessischer Rundfunk,
E,Das Erste,
SatI,Sat1,
ZDF,ZDF ,
ZDFk,ZDFkultur,
ZDFn,ZDFneo,
ZDFmr,ZDF Magazin Royale,
NDR,Norddeutscher Rundfunk,
NDRf,NDR Fernsehen,
ProS,Prosieben,
DHSS,Die Harald Schmidt Show,
RuB,Roche und Böhmermann,
Neomr,Neo Magazin Royale,
Neom ,Neo Magazin ,
Neop,Neo Paradise,
SuB,Schulz und Böhmermann ,
Zf,"Zimmer frei, Fernsehshow",
SuS,Sanft und Sorgfältig,
JKOJ,Joko und Klaas mit Olli und Jan,
BO,Bei Olli,
NDRt,NDR Talkshow,
DGeA,Die Geschichte eines Abends,
CHG,Circus HalliGalli,
SidB,Schulz in der Box,
JgK,Joko gegen Klaas – Die härtesten Duelle um die Welt,
St,Stern,
PT,Pussy Terror,
LNB,Late Night Berlin,
WWW,World Wide Wohnzimmer,
KCN,Köln Comedy Nacht,
St,Sträter,
LOL,Last One Laughing,
WWDS,Wer weiß denn sowas,
SZ,Spasszone,
ARD,Erstes Deutsches Fernsehen,
PKS,Pierre M. Krause Show,
YT,Yotube,
QCC,Quatsch Comedy Club,
SKY,Sky,
FTV,Florida TV,
Viva,Viva,
TSb,Thomas Schmitt Baywatch,1
JL,Jakob Lundt,1
KHU,Klaas Heufer-Umlauf,1